Sample,Amp28,Amp44,d15NpermilvsAIR,d13CpermilvsVPDB,wtN,wtC,Fixing,Order,Family,Tribe,binomial,Genus,Species,Native_status,Locality,Soil_pct_N_1,Soil_pct_N_2,Soil_pct_C_1,Soil_pct_C_2,County,Collector,Habitat,Habitat_detailed,State,ID_qualifier
JRD542,2125,8804,2.3,-33.97,2.42,44.18,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD543,5140,11093,0.3,-32.48,4.71,43.94,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Disturbed,0.19,0.08,2.29,1.56,Oktibbeha,Doby,Disturbed,Disturbance area,Mississippi,
JRD387,8866,6687,1.44,-28.43,4.01,47.09,1,Fabales,Fabaceae,Ingeae,Albizia julibrissin,Albizia,julibrissin,E,Prairie Creek Roadside,0.12,0.21,2.51,4.03,Alachua,Doby,Upland,Sandhill,Florida,
JRD-338,5696,8840,-1.69,-33.94,2.46,36.91,1,Fabales,Fabaceae,Desmodieae,Alysicarpus vaginalis,Alysicarpus,vaginalis,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD549,3341,10904,1.67,-32.22,3.36,41.78,0,Asterales,Asteraceae,n/a,Ambrosia sp.,Ambrosia,sp.,n/a,Roadside,0.28,0.26,3.68,3.38,Oktibbeha,Doby,Disturbed,Calcite disturbed,Mississippi,
JRD560,2295,11394,0.26,-31.53,1.93,36.98,0,Asterales,Asteraceae,n/a,Ambrosia sp.,Ambrosia,sp.,n/a,Prairie,0.04,0.1,9.7,8.09,Oktibbeha,Doby,Prairie,Calcite prairie,Mississippi,
JRD496,2368,12181,-0.95,-32.82,2.2,43.88,1,Fabales,Fabaceae,Phaseoleae,Amphicarpaea bracteata,Amphicarpaea,bracteata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD497,3440,12749,-0.41,-32.38,3.14,45.66,1,Fabales,Fabaceae,Phaseoleae,Amphicarpaea bracteata,Amphicarpaea,bracteata,E,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD573,607,11717,1.79,-13.91,0.65,44.44,0,Poales,Poaceae,n/a,Andropogon glomeratus,Andropogon,glomeratus,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD372,2302,6955,5.24,-13.99,0.95,43.06,0,Poales,Poaceae,n/a,Andropogon,Andropogon,sp.,n/a,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Swamp,Seasonal floodplain,Florida,
JRD413,854,3990,2.83,-13.45,0.87,43.27,0,Poales,Poaceae,n/a,Andropogon glomeratus,Andropogon,glomeratus,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD-330,8319,9917,-1.07,-31.9,3.61,41.73,1,Fabales,Fabaceae,Ingeae,Arachis hypogaea,Arachis,hypogaea,E,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-341,2444,9805,-0.19,-33.81,1.1,41.51,0,Ericales,Primulaceae,n/a,Ardisia crenata,Ardisia,crenata,E,Lake Alice,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded forest,Florida,
JRD454,767,3695,0.26,-14.13,0.91,45.36,0,Poales,Poaceae,n/a,Aristida beyrichiana,Aristida,beyrichiana,N,Austin Cary,0.03,0.03,0.68,1.01,Alachua,Doby,Upland,Sandhill,Florida,
JRD597,564,10706,-1.74,-13.1,0.6,44.36,0,Poacles,Poaceae,n/a,Aristida beyrichiana,Aristida,beyrichiana,N,Citrus WMA,0.03,0.03,1.08,0.66,Citrus,Doby,Upland,Calcite Upland,Florida,
JRD429,1673,3604,1.5,-27.37,1.97,44.3,0,Poales,Poaceae,n/a,Arundinaria gigantea,Arundinaria,gigantea,N,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD519,2059,10115,3.21,-33.25,2.09,44.31,0,Asterales,Asteraceae,n/a,Asteraceae,Asteraceae,sp.,n/a,Chocoloco WMA,0.17,0.17,4.66,6.04,Calhoun,Doby,Upland,Pine savannah,Alabama,
JRD506,1676,13149,1.73,-34,1.87,45.27,0,Asterales,Asteraceae,n/a,Asteraceae,Asteraceae,sp.,n/a,Chocoloco WMA,0.16,0.18,7.37,4.23,Calhoun,Doby,Mixed,Mixed pine/hardwood,Alabama,
JRD434,1796,4938,3.25,-32.66,1.65,47.08,0,Asterales,Asteraceae,n/a,Baccharis halimifolia,Baccharis,halimifolia,E,Austin Cary,0.03,0.13,0.74,2.97,Alachua,Doby,Mixed,Mixed Hardwood,Florida,
JRD-328,6493,9988,1.18,-31.21,2.69,41.42,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,Prairie Creek Preserve,n/a,n/a,n/a,n/a,Alachua,Doby,Disturbed,Flooded ditch,Florida,
JRD-342,9203,10598,-2.22,-32.56,3.64,40.28,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD-348,6200,10895,-2.17,-32.76,2.62,43.45,0,Asterales,Asteraceae,n/a,Bidens pilosa,Bidens,pilosa,N,NATL site 2,0.07,0.09,1.34,1.65,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD624,1833,10839,-0.83,-33.49,1.65,37.64,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.21,0.25,4.73,5.01,Citrus,Doby,Disturbed,Disturbed Junk Hammock Edge,Florida,
JRD585,2666,12514,1.83,-30.76,2.34,41.64,0,Asterales,Asteraceae,n/a,Bidens,Bidens,n/a,n/a,Anastasia State Park,0.11,0.33,7.03,5.41,St. Johns,Doby,Maritime,Maritime Hammock,Florida,
JRD607,1549,9033,-3.58,-34.51,1.66,37.66,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Citrus WMA,0.06,0.04,1.41,1.09,Citrus,Doby,Mixed,Calcite Mixed Pine/Hardwood,Florida,
JRD630,3058,9588,-0.35,-34.27,3.23,42.53,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.54,1.03,10.73,23.54,Citrus,Doby,Mixed,Disturbed Mixed Pine/Hardwod,Florida,
JRD617,1774,9353,-1.54,-32.75,1.79,39.06,0,Asterales,Asteraceae,n/a,Bidens alba,Bidens,alba,N,Crystal River,0.31,0.26,5.17,7.85,Citrus,Doby,Saltmarsh,Saltmarsh Ecotone,Florida,
JRD580,1976,7922,9.39,-29.62,2.1,33.74,0,Asterales,Asteraceae,n/a,Borrichia frutescens,Borrichia,frutescens,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD-343,6789,9637,-3.05,-33.07,2.68,36.52,0,Asterales,Asteraceae,n/a,Calyptocarpus vialis,Calyptocarpus,vialis,N,NATL site 1,0.18,0.45,5.54,14.21,Alachua,Doby,Disturbed,Disturbed,Florida,
JRD501,2848,10238,-1.31,-33.57,2.78,39.6,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Chocoloco WMA,0.46,0.24,6.21,4.64,Calhoun,Doby,CC forest,Closed canopy forest edge,Alabama,
JRD-313,3943,9418,-1.48,-29.03,1.71,40.4,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary Forest,n/a,n/a,n/a,n/a,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD420,2249,3692,-1.49,-30.62,2.42,41.66,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD425,3231,4034,-1.04,-29.68,3.21,42.48,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Austin Cary,0.12,0.1,3.26,3.13,Alachua,Doby,Flatwoods,Flatwoods,Florida,
JRD578,3162,12762,0.12,-29.88,2.72,42.63,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
JRD579,3856,9135,-1.33,-28.61,3.24,41.63,1,Fabales,Fabaceae,Phaseoleae,Centrosema virginianum,Centrosema,virginianum,N,Anastasia State Park,0.01,0.01,0.21,0.11,St. Johns,Doby,Maritime,Ecotone Maritime Hammock to salt marsh,Florida,
